id,definition,created_at,updated_at,name,parent_id,pft_type,modeltype_id
52,"created by D. LeBauer for use with Switchgrass at EBI Farm for the DOE Variance Decomposition Synthesis; 

leaf_respiration_rate (prior_id 7) has been removed until bug #1474 is resolved",2011-05-10 19:05:04,2012-11-27 03:45:49,ebifarm.pavi.doe_vd,,plant,1
135,based on ebifarm.salix; Willow for BioCro,2017-06-12 19:46:16.423178,2017-06-12 19:47:43.736669,salix-purpurea,109,plant,2
53,"Created by S. Serbin for use with Late Hardwood PFTs at the ChEAS sites for the DOE Variance Decomposition Synthesis; 

Based on Late successional hardwood species for eastern temperate forest.  This corresponds to default pft 11. Archetypes would be sugar maple and beech.",2011-02-01 16:06:06,2012-11-01 21:59:06,temperate.Late_Hardwood.doe_vd,,plant,1
54,"Created by S. Serbin for use with Late late successional conifer PFTs at the ChEAS sites for the DOE Variance Decomposition Synthesis; Based on Late successional conifer (e.g. hemlock, juniper, cedar) for eastern temperate forest.  Default pft = 8.",2011-02-01 20:35:23,2012-11-02 15:17:14,temperate.Late_Conifer.doe_vd,,plant,1
55,Created by S. Serbin for use with arly successional broadleaf PFTs at the ChEAS sites for the DOE Variance Decomposition Synthesis; Based Early successional hardwood for eastern temperate forest. Default pft = 9. Archetypes are poplar and birch. May want to split into northern and southern types (e.g. sweetgum and tulip poplar),2011-02-01 20:21:47,2012-11-02 21:18:09,temperate.Early_Hardwood.doe_vd,,plant,1
56,"Created by S. Serbin for use with mid successional broadleaf PFTs at the ChEAS sites for the DOE Variance Decomposition Synthesis; Based on the Northern half of midsuccessional temperate hardwoods (e.g. oak, hickory, ash).  Default PFT = 10.",2011-02-01 20:39:36,2012-11-02 23:45:25,temperate.North_Mid_Hardwood.doe_vd,,plant,1
4,created by DW for use with poplar,2010-06-29 20:07:29,2011-07-29 17:43:56,tempdecid,,plant,1
57,Created by S. Serbin for use with mid successional pine PFTs at the ChEAS sites for the DOE Variance Decomposition Synthesis; Based on Northern Pine (early successional conifer) PFT for east temperate.  Default pft = 6.  Archetypes are red and white pine.,2011-02-01 20:29:56,2012-11-03 14:50:14,temperate.Northern_Pine.doe_vd,,plant,1
59,created by J. Mantooth for DOE variance decomposition synthesis. Same priors as late temperate hardwood pft.,2012-11-06 15:44:12,2012-11-06 16:06:12,ebifarm.acsa3.doe_vd,,plant,1
60,created by J. Mantooth. For use in DOE variance decomposition synthesis.,2012-11-06 16:07:48,2012-11-06 16:09:12,ebifarm.prse2.doe_vd,,plant,1
137,Switchgrass cultivar 9005438,2018-01-31 16:44:25.724483,2018-01-31 16:44:25.724483,Pavi_9005438,,cultivar,2
63,"Based on ebifarm.pavi.doe_vd prior created for Switchgrass at EBI Farm for the DOE Variance Decomposition Synthesis.  (should ultimately be identical to except for associated species).

leaf_respiration_rate (prior_id 7) has been removed until bug #1474 is resolved",2011-05-10 19:05:04,2012-11-28 23:19:57,ebifarm.c4grass.doe_vd,,plant,1
64,created by DW for use with poplar,2010-06-29 20:07:29,2012-12-30 07:15:25,ebifarm.populus,,plant,1
67,created by D. LeBauer for use with Sugarcane,2011-05-10 19:05:04,2013-04-17 21:51:58,ebifarm.saof,,plant,1
68,created by DW for use with poplar. Edited by SPS for use in the DOE synthesis paper.,2010-06-29 20:07:29,2013-05-22 13:25:57,tempdecid.doe_vd,,plant,1
69,Created by DW.  Modified by SPS for DOE synthesis paper.,2011-06-07 20:13:02,2013-05-23 14:33:19,ebifarm.salix.doe_vd,,plant,1
138,"Switchgrass cultivar ""Alamo""",2018-01-31 16:44:25.724483,2018-01-31 16:44:25.724483,Pavi_alamo,,cultivar,2
72,Grass PFT for tundra runs. Created by SPS for DOE synthesis paper.,2013-05-27 15:13:26,2013-05-27 15:13:26,tundra.grass.doe_vd,,plant,1
74,Evergreen tundra PFT. Created by SPS for DOE synthesis paper.,2013-05-27 17:19:26,2013-05-27 17:19:26,tundra.evergreen.doe_vd,,plant,1
75,Deciduous tundra PFT. Created by SPS for DOE synthesis paper.,2013-05-27 17:40:38,2013-05-27 17:40:38,tundra.deciduous.doe_vd,,plant,1
79,"Created by Shawn Serbin for development and testing of leaf optics in PEcAn MA/SA/VD/Ensemble runs with ED2.

Based on Late successional hardwood species for eastern temperate forest.  This corresponds to default pft 11. Archetypes would be sugar maple and beech.",2011-02-01 16:06:06,2013-09-19 17:35:24,temperate.Late_Hardwood.optics,,plant,1
80,"Created by S. Serbin for use with Late late successional conifer PFTs at the ChEAS sites for the DOE Variance Decomposition Synthesis; Based on Late successional conifer (e.g. hemlock, juniper, cedar) for eastern temperate forest.  Default pft = 8.",2011-02-01 20:35:23,2013-09-24 14:57:59,temperate.Late_Conifer.optics,,plant,1
81,Created by S. Serbin for use with arly successional broadleaf PFTs at the ChEAS sites for the DOE Variance Decomposition Synthesis; Based Early successional hardwood for eastern temperate forest. Default pft = 9. Archetypes are poplar and birch. May want to split into northern and southern types (e.g. sweetgum and tulip poplar),2011-02-01 20:21:47,2013-09-24 14:58:48,temperate.Early_Hardwood.optics,,plant,1
5,herbaceous nitrogen fixers. created by XF for use in prairie,2010-06-29 20:08:49,2011-08-26 00:11:02,ebifarm.nfixer,,plant,1
6,created by XF for use in prairie,2010-06-29 20:09:01,2010-09-01 23:03:18,ebifarm.c4grass,,plant,1
7,created by XF for use in prairie,2010-06-29 20:09:08,2010-09-01 23:03:28,ebifarm.c3grass,,plant,1
8,temperate conifer,2010-06-29 20:09:20,2011-08-26 00:11:25,tempconif,,plant,1
9,forb = not grass. Created by XF for use in prairie,2010-06-29 20:09:45,2010-09-01 23:04:11,ebifarm.forb,,plant,1
10,"created by DSL for use with Switchgrass, Miscanthus, and Corn",2010-08-31 16:19:13,2010-09-01 23:05:50,ebifarm.c4crop,,plant,1
